,0,1,2,3,4,5,6,7,8,9,10
0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0
1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0
5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0
6,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
9,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
12,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0
15,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0
16,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0
20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
22,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0
